Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
LIQUIDADD,EQ,1037.8,0.05,2267.51,6.14,63.7
GATEWAY,EQ,83.64,1.47,4179.02,71.82,63.66
AADHARHFC,EQ,418,0.8,17967.5,15.03,63.37
YATHARTH,EQ,650,1.51,5580.27,9.44,61.49
TIPSMUSIC,EQ,802,1.26,10252.09,6.81,53.91
NEULANDLAB,EQ,13800,1.01,17705.25,0.36,49.03
KAJARIACER,EQ,1230,1.26,19588.77,3.84,47.2
ELECTCAST,EQ,171.7,2.31,10614.23,26.76,44.61
PSPPROJECT,EQ,596,0.92,2362.65,7.03,41.47
CMSINFO,EQ,580.5,0.05,9472.78,6.91,39.94
DYCL,EQ,656.75,1.1,1591.26,5.44,36.17
CRISIL,EQ,5100,0.31,37296.12,0.71,35.84
SUNDARMFIN,EQ,4869,3.54,54096.47,0.75,35.75
CREDITACC,EQ,988,0.43,15755.28,3.6,35.53
SONAMLTD,BE,80.58,2,322.58,44.6,35.47
RAMCOCEM,EQ,855.9,1.31,20224.26,4.11,34.75
KRN,EQ,436,2.35,2710.03,8.1,34.51
NAZARA,EQ,870,0.02,6659.12,4.03,34.44
EMAMILTD,EQ,643.55,0.79,28090.96,5.28,34.03
NXST,RR,144.44,0.02,21882.66,23.12,33.42
KANSAINER,EQ,279.05,3.07,22558.31,12.11,33.29
PIIND,EQ,4350.7,0.69,66008,0.74,32.12
IPCALAB,EQ,1587.5,0.41,40275.54,1.97,31.11
BECTORFOOD,EQ,1697,2.14,10419.26,1.8,30.47
AAVAS,EQ,1678,0.54,13279.96,1.83,30.37
SHARDACROP,EQ,591,0.04,5332.03,5.08,30.01
MEDICAMEQ,EQ,500.8,4.11,636.75,5.45,28.5
SARDAEN,EQ,461.5,0.09,16262.4,5.81,26.45
KOPRAN,EQ,286.1,3.12,1379.36,8.72,24.37
PTCIL,EQ,12220,3.43,18294.79,0.21,24.12
NH,EQ,1245.95,0.85,25462.33,1.94,23.91
SUPRIYA,EQ,551.8,1.76,4441.04,4.42,23.87
BAJAJHLDNG,EQ,10200,0.82,113519.38,0.23,23.74
TCI,EQ,1038,0.48,7945.15,2.12,22.53
UTIBANKETF,EQ,53.99,2.6,3564.96,42.43,22.08
CARTRADE,EQ,987,0.03,4668.52,2.24,22
DPWIRES,EQ,417,6.42,646.61,4.86,20.51
TIRUPATIFL,BE,44.69,4.98,463.35,43.76,19.24
GANESHHOUC,EQ,1000,2.34,8338.71,1.93,18.83
CELLO,EQ,829.8,1,18329.04,2.22,18.32
DODLA,EQ,1262,0.62,7613.37,1.4,17.77
CONCORDBIO,EQ,1818.45,0.19,19023.93,0.97,17.53
METROBRAND,EQ,1187.2,2.13,32285.8,1.49,17.42
ARMANFIN,EQ,1477.45,0.12,1549.92,1.2,17.32
ADVENZYMES,EQ,437,0.92,4889.18,3.71,15.99
PVTBANKADD,EQ,26,1.09,210.38,60.23,15.46
ORIANA,SM,1945,1,3731.02,0.82,15.45
BAYERCROP,EQ,6384.9,0.47,31992.98,0.24,15.37
KAMATHOTEL,EQ,223.32,20,658.35,7.09,15.17
AEGISLOG,EQ,749.9,0.21,26321.49,1.99,14.74
MANYAVAR,EQ,1274.5,0.95,30958.67,1.15,14.5
KPRMILL,EQ,905,2.41,30934.17,1.62,14.32
ANUP,EQ,2791.65,1.64,5583.99,0.53,14.23
ROUTE,EQ,1508.2,0.32,9496.03,0.95,14.22
LATENTVIEW,EQ,445.65,0.61,9180.29,3.13,13.97
DIAMONDYD,EQ,1040.8,0.69,2484.75,1.32,13.44
INDRAMEDCO,EQ,402.4,1.54,3688.92,3.36,13.28
TEXINFRA,EQ,110,2.04,1401.69,11.45,12.52
BANARBEADS,EQ,132,2.61,87.6,8.83,12.38
GREENPLY,EQ,379.05,2.31,4690.63,3.34,12.36
SANSTAR,EQ,120.5,0.45,2196.04,10.25,12.12
915GS2024,GS,104.27,1.63,95928.4,11.5,11.99
E2E,BE,3537.55,5,5972.9,0.34,11.89
FDC,EQ,518.85,0.27,8447.4,2.15,11.07
ORIENTHOT,EQ,170.12,4.17,3038.33,6.61,10.91
THOMASCOOK,EQ,185.08,0.81,8705.8,5.5,9.98
MON100,EQ,165.92,0.38,8364.6,5.78,9.56
TOP10ADD,EQ,95.3,1.22,143.79,9.98,9.39
HNGSNGBEES,EQ,328.5,0.22,774.82,2.77,9.13
TARACHAND,EQ,433.9,5,684.04,2.19,9.02
