Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
KARNIKA,ST,257,2.35,318.67,0.01,0.02
JIWANRAM,SM,16.5,1.85,40.83,0.12,0.02
10IIFL28,N4,945,0.21,219.92,0,0.02
SGBMAR28X,GB,8199,0.17,620.94,0,0.02
79NHIT35,N1,304.95,0.92,457.43,0.01,0.02
VCL,BE,0.77,2.67,14.15,2.24,0.02
PROPEQUITY,SM,268.9,7.56,281.86,0.01,0.02
SHYAMTEL,EQ,18.25,4.95,20.57,0.09,0.02
ALPSINDUS,BE,3.45,3.29,13.49,0.45,0.02
182D071124,TB,99.77,0.27,8403.41,0.01,0.01
948SCL26A,NN,850,8.97,16.31,0,0.01
HEALTHADD,EQ,143.25,0.07,10.53,0.01,0.01
574GS2026,GS,100.83,1.42,81672.3,0.01,0.01
GATECHDVR,BE,0.91,4.6,10.76,1.57,0.01
753IRFC30,NJ,1099.97,0.5,1181.61,0,0.01
PANSARI,BE,131.24,4.99,228.97,0.01,0.01
AMIABLE,SM,83.65,2.01,14.62,0.02,0.01
99AEL29,N7,1015.8,0.38,130.88,0,0.01
PODDARHOUS,BZ,74.44,2.18,47.01,0.02,0.01
740IIFCL33,N1,1175.01,1.29,0,0,0.01
735IRFC31,NM,1090,0.17,1107.85,0,0.01
84TCHF28,NA,1067,0.09,96.64,0,0.01
872MMFSL26,N1,1038,1.57,0,0,0.01
AEL120924B,N8,1025,0.99,34.89,0,0.01
719GS2060,GS,101,0.28,64640,0.01,0.01
1015SCL28,NR,994.8,11.13,8.74,0,0.01
KTL,ST,30.7,4.96,52.76,0.03,0.01
KHAITANLTD,BE,91,2.79,43.23,0.01,0.01
DRSDILIP,ST,88,1.62,132.55,0.01,0.01
GSEC10YEAR,EQ,27.33,0.85,86.54,0.02,0.01
ASCOM,ST,130,0.04,152.28,0.01,0.01
OMKARCHEM,BZ,8.24,4.04,16.96,0.08,0.01
863NHB29,N2,5880,1.38,478.82,0,0.01
364D130325,TB,97.73,0.86,9753.17,0.01,0.01
SGBDC27VII,GB,8299,0.59,538.03,0,0.01
VELS,SM,46,1.77,59.38,0.01,0.01
925AEL26,N1,1005,0.5,36.6,0,0.01
769HUDCO31,N9,1168,0.52,0,0,0.01
IFCIZC25,NM,2408,3.35,54.3,0,0.01
930SFL28,YP,1025,0.1,33.15,0,0
MFML,BE,54.74,2.84,58.14,0.01,0
948SCL26,N9,900,7.14,6.4,0,0
SGBJUN27,GB,8200,0.29,377.03,0,0
SETUINFRA,BZ,0.88,1.15,11.06,0.37,0
86LTF24,NJ,1065.55,0.14,346.87,0,0
GSEC5IETF,EQ,58.18,0.64,79.76,0.01,0
MOGSEC,EQ,57.89,0.77,96.16,0,0
TECILCHEM,BE,23,4.07,43.62,0.01,0
GTECJAINX,BE,45.77,0.02,46.64,0.01,0
NAVINIFTY,EQ,296.26,0.44,8.66,0,0
GSEC10IETF,EQ,240.99,1.19,560.21,0,0
NIF10GETF,EQ,24.29,0.33,1.2,0.01,0
875IIFL26,NM,990,1.01,134.72,0,0
971SCL28A,NT,850,6.25,13.05,0,0
68GS2060,GS,100.9,0.4,85686.03,0,0
891IIFCL34,N4,1310,0.15,0,0,0
182D060325,TB,97.6,1.67,6441.6,0,0
364D200325,TB,97.27,0.43,8863.11,0,0
1003SCL30A,NV,944.8,11.34,2.82,0,0
SANCO,BZ,4,0.5,5.23,0.04,0
ABGSEC,EQ,103.53,0.11,43.27,0,0
1119NFL27,ND,1021,0.88,50.84,0,0
676GS2061,GS,102,3.03,144941.55,0,0
743REC35,NH,1234.9,1.64,0,0,0
723GS2039,GS,102.5,0.49,119925,0,0
840CIFCL28,N4,1021.5,0.15,449.76,0,0
91D051224,TB,99,0.09,16335.99,0,0
965SCL26F,N1,904,0.31,16.5,0,0
8ABFL26,N0,1003,0.1,205.92,0,0
SGBFEB27,GB,8050.01,0.56,166.95,0,0
IMC1,N3,251,0.3,61.24,0,0
94IFCI25,NL,1057.8,0.27,320.32,0,0
735NABAR31,N1,1150,1.32,0,0,0
980IFSL25,N5,1097.99,3.1,27.95,0,0
746GS2073,GS,111,0.02,118770,0,0
883GS2041,GS,117.2,5,105480,0,0
